symbol,entry_date,exit_date,entry_price,exit_price,days_held,pnl_pct,pnl_rs,exit_reason,result
APLAPOLLO,2024-05-29,2024-05-31,1623.9,1530.0,1,-5.78,-93.9,SMA_EXIT,LOSS
APLAPOLLO,2024-12-24,2024-12-26,1540.1,1518.95,0,-1.37,-21.15,SMA_EXIT,LOSS
APLAPOLLO,2025-06-20,2025-07-28,1772.0,1539.1,25,-13.14,-232.9,SMA_EXIT,LOSS
NBCC,2022-12-12,2022-12-26,26.8,22.93,9,-14.44,-3.87,SMA_EXIT,LOSS
NBCC,2023-01-23,2023-02-03,25.53,23.2,7,-9.13,-2.33,SMA_EXIT,LOSS
NBCC,2023-06-23,2023-07-26,26.97,28.37,21,5.19,1.4,RSI_EXIT,WIN
NBCC,2023-11-24,2023-12-01,43.4,51.33,3,18.27,7.93,RSI_EXIT,WIN
NBCC,2023-12-21,2024-01-23,49.3,69.33,21,40.63,20.03,RSI_EXIT,WIN
NBCC,2024-02-13,2024-03-28,82.9,76.33,30,-7.93,-6.57,MAX_HOLD,LOSS
NBCC,2024-04-19,2024-04-30,81.33,95.6,6,17.55,14.27,RSI_EXIT,WIN
NBCC,2024-05-08,2024-05-22,85.63,100.0,9,16.78,14.37,RSI_EXIT,WIN
NBCC,2024-05-29,2024-06-24,96.0,110.0,16,14.58,14.0,RSI_EXIT,WIN
NBCC,2024-07-19,2024-09-03,117.53,125.59,30,6.86,8.06,MAX_HOLD,WIN
NBCC,2024-09-09,2024-10-23,118.5,96.65,30,-18.44,-21.85,SMA_EXIT,LOSS
NBCC,2025-06-20,2025-08-04,113.8,107.7,30,-5.36,-6.1,MAX_HOLD,LOSS
NBCC,2025-12-09,2025-12-16,107.9,114.81,4,6.4,6.91,RSI_EXIT,WIN
NBCC,2026-01-08,2026-01-12,116.0,109.0,1,-6.03,-7.0,SMA_EXIT,LOSS
SONACOMS,2022-04-18,2022-04-25,613.5,664.1,4,8.25,50.6,RSI_EXIT,WIN
SONACOMS,2023-10-10,2023-11-08,558.0,567.7,19,1.74,9.7,RSI_EXIT,WIN
SONACOMS,2023-11-29,2023-12-06,563.0,583.0,4,3.55,20.0,RSI_EXIT,WIN
SONACOMS,2024-01-11,2024-02-01,617.5,622.15,13,0.75,4.65,RSI_EXIT,WIN
SONACOMS,2024-04-09,2024-05-13,649.4,590.95,20,-9.0,-58.45,SMA_EXIT,LOSS
SONACOMS,2024-06-24,2024-07-12,629.05,720.0,13,14.46,90.95,RSI_EXIT,WIN
